Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],,,[g/L],[deg F],[kPa],[%]
1/8/26 4:30:58 PM,Joe,,9 Iron,78.5612025769506,-1.34,0.39,-2.83,-3.22,82.22977434129653,1.046696990932039,28.5,-2.2699999809265137,7663.65771484375,816.3031005859375,7707.009765625,Estimated,-6.079999923706055,21.450000762939453,98.4251968503937,-5.03000020980835,-8.628608777871387,102.38407999407484,-5.090000152587891,-9.087926968084755,,,1.1586727,69.998,98.4,56
1/8/26 4:31:12 PM,Joe,,9 Iron,78.06907659269864,5.54,-0.87,-7.55,-6.68,86.54706206762032,1.1085959491893693,22.469999313354492,-6.309999942779541,4193.82177734375,580.4487915039062,4233.7998046875,Estimated,-7.880000114440918,16.829999923706055,112.78433645386917,-9.369999885559082,-18.36176828032299,123.65485530930033,-9.539999961853027,-20.483376577248826,,,1.1586727,69.998,98.4,56
1/8/26 4:31:28 PM,Joe,,9 Iron,78.6059413027917,2.5,-0.02,5.2,5.22,81.62580905168844,1.0384178053063973,34.90999984741211,4.269999980926514,4455.83837890625,-164.94564819335938,4458.89013671875,Estimated,2.119999885559082,26.049999237060547,101.77165087335274,5.570000171661377,9.875327791963246,108.40988326051834,5.559999942779541,10.509623421563044,,,1.1586727,69.998,98.4,56
1/8/26 4:31:48 PM,Joe,,9 Iron,80.48496778811739,5.53,-0.81,7.76,8.57,90.0366857551897,1.1186770428015564,33.54999923706055,6.269999980926514,5459.310546875,-628.7671508789062,5495.39990234375,Measured,6.570000171661377,30.459999084472656,112.95931858653472,10.039999961853027,19.68503937007874,118.41644660902983,10.069999694824219,20.7021000712771,,,1.1586727,69.998,98.4,56
1/8/26 4:31:57 PM,Joe,,9 Iron,81.26789549033643,4.57,-0.51,-10.35,-9.84,94.19738862372844,1.15909718167772,25.25,-8.569999694824219,8361.8388671875,895.098876953125,8409.6103515625,Estimated,-6.110000133514404,25.270000457763672,116.69947406438392,-12.699999809265137,-25.667103361061343,120.38495388348063,-12.720000267028809,-26.509186101397816,,,1.1586727,69.998,98.4,56
1/8/26 4:32:52 PM,Joe,,9 Iron,75.04921259842519,-0.11,2.78,18.16,15.38,77.04008282638911,1.0265275298571979,38.810001373291016,15.270000457763672,2089.684326171875,831.58642578125,2249.070068359375,Estimated,-21.700000762939453,25.510000228881836,98.8954509024232,10.899999618530273,18.711724202046767,108.34426913257242,10.329999923706055,19.433508812077505,,,1.1586727,69.998,98.4,56
1/8/26 4:34:26 PM,Joe,,7 Iron,78.24803149606299,3.09,-2.0,-1.9,0.10000000000000009,95.6961318434522,1.2229845277100309,25.309999465942383,-1.809999942779541,5577.09228515625,-17.521011352539062,5577.1201171875,Measured,0.18000000715255737,25.610000610351562,130.31496463485277,-1.940000057220459,-4.407261821750164,134.580049823484,-1.9299999475479126,-4.527558909104982,,,1.1586727,69.998,98.4,56
1/8/26 4:34:35 PM,Joe,,7 Iron,79.1204366499642,0.79,-1.33,13.07,14.4,82.02844973368225,1.0367542597948916,28.989999771118164,10.569999694824219,4434.76025390625,-2560.40966796875,5120.81982421875,Estimated,30.0,19.600000381469727,101.32327375971009,21.729999542236328,37.51093529862265,109.07698803999293,22.350000381469727,41.48075273969355,,,1.1586727,69.998,98.4,56
1/8/26 4:34:43 PM,Joe,,7 Iron,91.3117394416607,0.0,0.0,0.0,0.0,98.89495142374878,1.0830475032942837,26.079999923706055,5.670000076293945,6167.13232421875,-235.83938598632812,6171.64013671875,Estimated,2.190000057220459,28.6200008392334,130.29308769646593,7.480000019073486,16.961942507526068,136.2423467093774,7.460000038146973,17.694663500848407,,,1.1586727,69.998,98.4,56
