Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
3/1/26 10:05:37 AM,Joe,,,7 Iron,80.93235504652827,1.2,-7.46,-3.36,4.1,101.46743157290526,1.2537313601534428,11.760000228881836,-3.690000057220459,4907.27783203125,-2260.20947265625,5402.77001953125,Measured,24.729999542236328,10.90999984741211,123.26115385441017,5.03000020980835,10.815835896022259,137.9155737208569,6.0,14.413823605835281,,,,,1.1779208,64.004,98.77,52,,,,,70.0,71.0,,1.0
3/1/26 10:05:55 AM,Joe,,,7 Iron,80.52970651395849,-0.8,-8.66,-8.08,0.5800000000000001,101.37795207324673,1.258888880411784,22.780000686645508,-7.71999979019165,6365.9677734375,569.2673950195312,6391.3701171875,Measured,-5.110000133514404,26.229999542236328,136.49387309557497,-11.15999984741211,-26.41076073767528,140.19029138386512,-11.170000076293945,-27.15441811428921,,,,,1.1779208,64.004,98.77,52,,,,,1171.0,176.0,,6.699999809265137
3/1/26 10:06:09 AM,Joe,,,7 Iron,84.086435218325,4.0,-13.06,-1.7,11.360000000000001,93.52630944275907,1.1122639365068105,20.309999465942383,-3.0299999713897705,7255.3896484375,-1287.1563720703125,7368.68017578125,Measured,10.0600004196167,19.520000457763672,117.9352540878069,1.1399999856948853,2.351268695721163,124.51881081622,1.3600000143051147,2.9636920802132245,,,,,1.1779208,64.004,98.77,52,,,,,1137.0,182.0,,6.199999809265137
3/1/26 10:06:54 AM,Joe,,,7 Iron,85.7193987115247,3.34,-7.3,-7.48,-0.1800000000000006,94.71188294691278,1.104906058261688,14.6899995803833,-7.059999942779541,4238.02978515625,-1076.3223876953125,4372.56982421875,Measured,14.25,12.050000190734863,119.46631437420115,-2.619999885559082,-5.457130108396942,133.54112052750608,-2.0899999141693115,-4.877515352304213,,,,,1.1779208,64.004,98.77,52,,,,,1980.0,179.0,,
3/1/26 10:07:08 AM,Joe,,,7 Iron,85.09305654974946,,-14.76,-3.74,11.02,94.82372805486855,1.1143532962578453,22.700000762939453,-4.920000076293945,4873.4951171875,-778.8626708984375,4935.33984375,Measured,9.079999923706055,21.770000457763672,126.8591426071741,-1.7000000476837158,-3.76202980885877,135.8814523184602,-1.4500000476837158,-3.4339458715050033,,,,,1.1779208,64.004,98.77,52,,,,,1136.0,185.0,,6.099999904632568
3/1/26 10:07:21 AM,Joe,,,7 Iron,86.18915533285612,7.46,-6.63,-0.24,6.39,92.8328561202577,1.0770827926291202,18.3799991607666,-1.0299999713897705,6296.7919921875,-2232.284912109375,6680.77001953125,Measured,19.520000457763672,16.190000534057617,115.86832562143721,6.809999942779541,13.735783486020013,124.55161788019295,7.329999923706055,15.890200932820639,,,,,1.1779208,64.004,98.77,52,,,,,1206.0,179.0,,6.699999809265137
3/1/26 10:07:41 AM,Joe,,,7 Iron,86.14441660701503,4.18,-4.63,-3.44,1.19,98.04492177669714,1.1381459836680003,21.049999237060547,-3.4000000953674316,6767.880859375,-1736.437255859375,6987.08984375,Measured,14.390000343322754,22.280000686645508,126.10454676136675,2.880000114440918,6.342957338948888,132.29440203488969,3.1700000762939453,7.305336645164723,,,,,1.1779208,64.004,98.77,52,,,,,1170.0,161.0,,7.300000190734863
3/1/26 10:08:25 AM,Joe,,,5 Iron,88.53793843951324,1.76,-8.46,-2.41,6.050000000000001,109.2519688452664,1.2339565475641205,19.329999923706055,-3.0399999618530273,6346.3798828125,-1093.9288330078125,6439.97021484375,Measured,9.779999732971191,26.299999237060547,146.85039236581022,1.5299999713897705,3.9260716471667885,153.8385806746996,1.7400000095367432,4.658792901226855,,,,,1.1779208,64.004,98.77,52,,,,,66.0,67.0,,1.0
3/1/26 10:08:55 AM,Joe,,,5 Iron,90.93146027201145,3.96,-8.29,-2.0,6.289999999999999,102.54115996910319,1.1276752805064671,16.68000030517578,-2.680000066757202,5899.8125,-975.6497192382812,5979.93994140625,Measured,9.390000343322754,19.059999465942383,135.91425938243316,1.2599999904632568,2.9855643253209605,144.8600248401872,1.5099999904632568,3.8057742990742414,,,,,1.1779208,64.004,98.77,52,,,,,1231.0,182.0,,6.800000190734863
3/1/26 10:09:20 AM,Joe,,,5 Iron,84.01932712956335,-2.87,-7.06,10.55,17.61,101.26610696529096,1.2052715776827387,29.8799991607666,7.78000020980835,5202.12548828125,-1238.36181640625,5347.490234375,Measured,13.390000343322754,33.58000183105469,133.1364806034225,15.300000190734863,35.13779644369558,139.53411672997663,15.430000305175781,37.117233843732485,,,,,1.1779208,64.004,98.77,52,,,,,1358.0,171.0,,7.900000095367432
3/1/26 10:09:58 AM,Joe,,,5 Iron,88.69452397995705,-1.77,-3.38,1.68,5.06,101.10952210750594,1.1399747985608941,18.389999389648438,0.9599999785423279,6128.65478515625,-2224.59326171875,6519.91015625,Measured,19.950000762939453,19.81999969482422,131.17891179816513,9.970000267028809,22.71434870709063,138.91075748366842,10.40999984741211,25.109360328600893,,,,,1.1779208,64.004,98.77,52,,,,,1155.0,150.0,,7.699999809265137
3/1/26 10:10:20 AM,Joe,,,5 Iron,90.93146027201145,5.22,-9.53,-10.79,-1.2599999999999998,111.06389031379497,1.2214022515591367,12.270000457763672,-10.0600004196167,6040.00634765625,484.90643310546875,6059.43994140625,Measured,-4.590000152587891,17.25,148.0205666048946,-12.920000076293945,-33.092738658007256,158.40989293910283,-12.979999542236328,-35.597112026531654,,,,,1.1779208,64.004,98.77,52,,,,,1148.0,163.0,,7.0
3/1/26 10:10:52 AM,Joe,,,5 Iron,91.19989262705799,0.99,-5.13,5.22,10.35,110.68360670686366,1.213637467310187,22.030000686645508,3.6500000953674316,7336.42626953125,-1816.940673828125,7558.06982421875,Measured,13.90999984741211,30.649999618530273,143.79921860582246,11.75,29.29790126370007,148.6876713843692,11.90999984741211,30.68678856730357,,,,,1.1779208,64.004,98.77,52,,,,,1179.0,156.0,,7.599999904632568
3/1/26 10:11:13 AM,Joe,,,5 Iron,91.40121689334288,2.13,-5.07,-13.42,-8.35,116.18646793734115,1.2711698146526917,13.489999771118164,-11.65999984741211,4571.4541015625,7.1808295249938965,4571.4599609375,Estimated,-0.09000000357627869,19.899999618530273,164.26071407288077,-12.520000457763672,-35.60805049572508,176.70603874787258,-12.4399995803833,-38.07961471437469,,,,,1.1779208,64.004,98.77,52,,,,,1231.0,154.0,,8.0
3/1/26 10:12:06 AM,Joe,,,5 Iron,88.38135289906943,0.6,-3.7,7.68,11.379999999999999,97.32909431266376,1.10124014987429,13.8100004196167,5.840000152587891,3442.780029296875,-1987.6898193359375,3975.3798828125,Measured,30.0,10.25,116.95100879418881,14.899999618530273,30.08530208757856,133.9129450440094,16.049999237060547,37.04068124659314,,,,,1.1779208,64.004,98.77,52,,,,,1228.0,147.0,,8.399999618530273
3/1/26 10:12:35 AM,Joe,,,5 Iron,90.97619899785255,0.48,-4.83,6.13,10.96,104.7780962611576,1.1517088800734667,22.239999771118164,4.429999828338623,6876.849609375,-2809.190673828125,7428.5,Measured,22.219999313354492,26.31999969482422,134.62379535665036,16.149999618530273,37.4343827014833,139.9387566540602,16.469999313354492,39.665354831325104,,,,,1.1779208,64.004,98.77,52,,,,,71.0,72.0,,1.0
